classification,school,address,phone,website,cre-url,grade,type,programs,about-1,about-2,about-3,snippet_name,school_name,cre-url,cre_markup
public,Citadel Park School,"808 Citadel Drive NW, Calgary, AB, T3G 4B8",403-777-8063,http://school.cbe.ab.ca/school/CitadelPark/,https://www.calgary-real-estate.com/uploads/agent-1/optimized-images/school-logos/citadel-park-school.webp,K - 4,Elementary,Regular,"<p>Citadel Park School is a vibrant elementary school that hosts students from grades K - 4. Offering a wealth of extra-curricular activities, Citadel develops a wide variety of interests and features a very strong choir program.</p>","<p>This respected school services students from both Citadel and Arbour Lake communities, and feeds into Arbour Lake School as students reach grade 5.</p>",,public-citadel-park-school,citadel-park-school,/uploads/agent-1/optimized-images/school-logos/public/citadel-park-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Citadel Park School</h3> <p>808 Citadel Drive NW, Calgary, AB, T3G 4B8</p><p><strong>Phone Number:</strong> 403-777-8063</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/CitadelPark/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/citadel-park-school.webp' alt='Citadel Park School Logo' width='80' height='80' title='Visit Citadel Park School website.'> </a> <div> <p><strong>Grades:</strong> K - 4</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Citadel Park School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Citadel Park School</h4><p>Citadel Park School is a vibrant elementary school that hosts students from grades K - 4. Offering a wealth of extra-curricular activities, Citadel develops a wide variety of interests and features a very strong choir program.</p><p>This respected school services students from both Citadel and Arbour Lake communities, and feeds into Arbour Lake School as students reach grade 5.</p></div></div>"
public,Arbour Lake School,"27 Arbour Crest Dr NW, Calgary, AB, T3G 4H3",403-777-7310,http://school.cbe.ab.ca/school/arbourlake,https://www.calgary-real-estate.com/uploads/agent-1/optimized-images/school-logos/arbour-lake-school.webp,9-May,Middle,Regular,"<p>In operation since 2007, Arbour Lake School hosts student from grades 5 - 9 who live in Citadel, Scenic Acres , and Arbour Lake communities.</p>","<p>They offer an unparalleled learning and literacy program that offers enrichment opportunities to students in grades 7 - 9, while emphasizing a project-based learning environment.</p>",,public-arbour-lake-school,arbour-lake-school,/uploads/agent-1/optimized-images/school-logos/public/arbour-lake-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Arbour Lake School</h3> <p>27 Arbour Crest Dr NW, Calgary, AB, T3G 4H3</p><p><strong>Phone Number:</strong> 403-777-7310</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/arbourlake' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/arbour-lake-school.webp' alt='Arbour Lake School Logo' width='80' height='80' title='Visit Arbour Lake School website.'> </a> <div> <p><strong>Grades:</strong> 5 - 9</p><p><strong>Type:</strong> Middle</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Arbour Lake School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Arbour Lake School</h4><p>In operation since 2007, Arbour Lake School hosts student from grades 5 - 9 who live in Citadel, Scenic Acres , and Arbour Lake communities.</p><p>They offer an unparalleled learning and literacy program that offers enrichment opportunities to students in grades 7 - 9, while emphasizing a project-based learning environment.</p></div></div>"
public,Hawkwood School,"650 Hawkwood BLvd NW Calgary, AB T3G 2V7",403-777-6410,http://school.cbe.ab.ca/school/Hawkwood/,,K to 6,Elementary,Regular,"<p>Hawkwood School encourages a collaborative, high-expectation environment, which fosters a love for learning. Their versatile learning structure includes “loops”, where students remain with the same class group or teacher from Grade 1 to 2, Grade 3 to 4 and from Grade 5 to 6.</p>",,,public-hawkwood-school,hawkwood-school,/uploads/agent-1/optimized-images/school-logos/public/hawkwood-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Hawkwood School</h3> <p>650 Hawkwood BLvd NW Calgary, AB T3G 2V7</p><p><strong>Phone Number:</strong> 403-777-6410</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/Hawkwood/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/hawkwood-school.webp' alt='Hawkwood School Logo' width='80' height='80' title='Visit Hawkwood School website.'> </a> <div> <p><strong>Grades:</strong> K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Hawkwood School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Hawkwood School</h4><p>Hawkwood School encourages a collaborative, high-expectation environment, which fosters a love for learning. Their versatile learning structure includes “loops”, where students remain with the same class group or teacher from Grade 1 to 2, Grade 3 to 4 and from Grade 5 to 6.</p></div></div>"
public,Belvedere Parkway School,"4631 85 St NW Calgary, AB T3B 2R8",403-777-6010,http://school.cbe.ab.ca/school/belvedereparkway,https://www.calgary-real-estate.com/uploads/shared/images/public_schools/Belvedere Parkway School.png,K - 6,Elementary,Regular,"<p>Nestled in the community of Beltline, Belvedere Parkway School strongly emphasizes team work. We encourage all-round development and growth of our children through a dynamic collaboration between principal, parents, students, support staff and students. We are guided by the values of purposeful learning, honest communication and ongoing self-evaluation.</p>",,,public-belvedere-parkway-school,belvedere-parkway-school,/uploads/agent-1/optimized-images/school-logos/public/belvedere-parkway-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Belvedere Parkway School</h3> <p>4631 85 St NW Calgary, AB T3B 2R8</p><p><strong>Phone Number:</strong> 403-777-6010</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/belvedereparkway' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/belvedere-parkway-school.webp' alt='Belvedere Parkway School Logo' width='80' height='80' title='Visit Belvedere Parkway School website.'> </a> <div> <p><strong>Grades:</strong> K - 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Belvedere Parkway School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Belvedere Parkway School</h4><p>Nestled in the community of Beltline, Belvedere Parkway School strongly emphasizes team work. We encourage all-round development and growth of our children through a dynamic collaboration between principal, parents, students, support staff and students. We are guided by the values of purposeful learning, honest communication and ongoing self-evaluation.</p></div></div>"
public,Bowcroft School,"3940 73 St NW Calgary, AB T3B 2L9",403-777-6020,http://school.cbe.ab.ca/school/bowcroft,https://www.calgary-real-estate.com/uploads/shared/images/public_schools/Bowcroft School.png,K - 6,Elementary,"Regular, German Bilingual","<p>Situated amidst the stunning Bow River valley, our school offers a comprehensive mix of experiential learning and personalized coaching. We offer intensive programs in German and English along with regular K-6 program. Before and after care programs and bilingual music specialists are some of the other highlights.</p>",,,public-bowcroft-school,bowcroft-school,/uploads/agent-1/optimized-images/school-logos/public/bowcroft-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Bowcroft School</h3> <p>3940 73 St NW Calgary, AB T3B 2L9</p><p><strong>Phone Number:</strong> 403-777-6020</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/bowcroft' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/bowcroft-school.webp' alt='Bowcroft School Logo' width='80' height='80' title='Visit Bowcroft School website.'> </a> <div> <p><strong>Grades:</strong> K - 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular, German Bilingual</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Bowcroft School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Bowcroft School</h4><p>Situated amidst the stunning Bow River valley, our school offers a comprehensive mix of experiential learning and personalized coaching. We offer intensive programs in German and English along with regular K-6 program. Before and after care programs and bilingual music specialists are some of the other highlights.</p></div></div>"
public,Thomas B. Riley School,"3915 69 St NW Calgary, AB T3B 2J9",403-777-7260,http://school.cbe.ab.ca/school/thomasbriley/,https://www.calgary-real-estate.com/uploads/shared/images/public_schools/ThomasB Riley School.png,9-Jun,Middle,"Regular, Traditional Learning Centre (TLC)","<p>As a Traditional Learning Center, Thomas B. Riley School offers comprehensive collection of programs for grades 7-9. Key highlights are the array of complementary programs in computers, fashion, French, food, art and construction while our students enjoy easy access to cutting-edge technology.</p>",,,public-thomas-b-riley-school,thomas-b-riley-school,/uploads/agent-1/optimized-images/school-logos/public/thomas-b-riley-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Thomas B. Riley School</h3> <p>3915 69 St NW Calgary, AB T3B 2J9</p><p><strong>Phone Number:</strong> 403-777-7260</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/thomasbriley/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/thomas-b-riley-school.webp' alt='Thomas B. Riley School Logo' width='80' height='80' title='Visit Thomas B. Riley School website.'> </a> <div> <p><strong>Grades:</strong> 6 - 9</p><p><strong>Type:</strong> Middle</p><p><strong>Programs:</strong> Regular, Traditional Learning Centre (TLC)</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Thomas B. Riley School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Thomas B. Riley School</h4><p>As a Traditional Learning Center, Thomas B. Riley School offers comprehensive collection of programs for grades 7-9. Key highlights are the array of complementary programs in computers, fashion, French, food, art and construction while our students enjoy easy access to cutting-edge technology.</p></div></div>"
public,Terrace Road School,"2103 46 St NW Calgary, AB T3B 1B3",403-777-6080,http://school.cbe.ab.ca/school/TerraceRoad/,,K to 6,Elementary,Regular,"<p>Located in the neighbourhood of Montgomery in northwest Calgary, the Terrace Road School offers a caring and dynamic environment for the students from diverse backgrounds to come together and evolve into life-long learners.</p>",,,public-terrace-road-school,terrace-road-school,/uploads/agent-1/optimized-images/school-logos/public/terrace-road-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Terrace Road School</h3> <p>2103 46 St NW Calgary, AB T3B 1B3</p><p><strong>Phone Number:</strong> 403-777-6080</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/TerraceRoad/' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/terrace-road-school.webp' alt='Terrace Road School Logo' width='80' height='80' title='Visit Terrace Road School website.'> </a> <div> <p><strong>Grades:</strong> K to 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Terrace Road School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Terrace Road School</h4><p>Located in the neighbourhood of Montgomery in northwest Calgary, the Terrace Road School offers a caring and dynamic environment for the students from diverse backgrounds to come together and evolve into life-long learners.</p></div></div>"
public,Brentwood School,"1231 Northmount Dr NW Calgary, AB T2L 0C9",403-777-6130,http://school.cbe.ab.ca/school/brentwood,,K - 5,Elementary,Traditional Learning Centre (TLC),"<p>An exceptional elementary school supported by parent and grandparent volunteer programs, Brentwood School’s programs include a strong character education program, a robust science program bolstered by their green Garden naturalized area and a Macintosh computer lab + 2 portable Macbook labs.</p>",,,public-brentwood-school,brentwood-school,/uploads/agent-1/optimized-images/school-logos/public/brentwood-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Brentwood School</h3> <p>1231 Northmount Dr NW Calgary, AB T2L 0C9</p><p><strong>Phone Number:</strong> 403-777-6130</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/brentwood' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/brentwood-school.webp' alt='Brentwood School Logo' width='80' height='80' title='Visit Brentwood School website.'> </a> <div> <p><strong>Grades:</strong> K - 5</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Traditional Learning Centre (TLC)</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Brentwood School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Brentwood School</h4><p>An exceptional elementary school supported by parent and grandparent volunteer programs, Brentwood School’s programs include a strong character education program, a robust science program bolstered by their green Garden naturalized area and a Macintosh computer lab + 2 portable Macbook labs.</p></div></div>"
public,Dr. E.W. Coffin School,"5615 Barrett Dr NW Calgary, AB T2L 1W4",409-777-6190,http://school.cbe.ab.ca/school/DrEWCoffin,,K - 6,Elementary,Regular,"<p>Dr. E.W. Coffin School provides a holistic learning experience that encompasses visual and performing arts, environmental studies and technology in addition to its strong core academic disciplines. This friendly elementary school serves the northwest community of Brentwood.</p>",,,public-dr-ew-coffin-school,dr-ew-coffin-school,/uploads/agent-1/optimized-images/school-logos/public/dr-ew-coffin-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Dr. E.W. Coffin School</h3> <p>5615 Barrett Dr NW Calgary, AB T2L 1W4</p><p><strong>Phone Number:</strong> 409-777-6190</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/DrEWCoffin' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/dr-ew-coffin-school.webp' alt='Dr. E.W. Coffin School Logo' width='80' height='80' title='Visit Dr. E.W. Coffin School website.'> </a> <div> <p><strong>Grades:</strong> K - 6</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Dr. E.W. Coffin School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Dr. E.W. Coffin School</h4><p>Dr. E.W. Coffin School provides a holistic learning experience that encompasses visual and performing arts, environmental studies and technology in addition to its strong core academic disciplines. This friendly elementary school serves the northwest community of Brentwood.</p></div></div>"
public,Captain John Palliser School,"1484 Northmount Dr NW Calgary, AB T2L 0G6",403-777-6170,http://school.cbe.ab.ca/school/captainjohnpalliser,,K - 9,Elementary,"Regular, Montessori","<p>Conveniently located in Brentwood near Sir Winston Churchill Pool and Nosehill Library, Captain John Palliser School extends a Montessori Alternative program K - 6 and a Pre-Kindergarten program, which is tuition based. The school provides lunchroom supervision during school hours and before/after school care.</p>",,,public-captain-john-palliser-school,captain-john-palliser-school,/uploads/agent-1/optimized-images/school-logos/public/captain-john-palliser-school.webp,"<div class='cmty-school'> <div class='cmty-school__text'> <h3>Captain John Palliser School</h3> <p>1484 Northmount Dr NW Calgary, AB T2L 0G6</p><p><strong>Phone Number:</strong> 403-777-6170</p></div><div class='cmty-school__info'> <a href='http://school.cbe.ab.ca/school/captainjohnpalliser' target='_blank' rel='nofollow noreferrer noindex'> <img class='lazyload' data-src='/uploads/agent-1/optimized-images/school-logos/public/captain-john-palliser-school.webp' alt='Captain John Palliser School Logo' width='80' height='80' title='Visit Captain John Palliser School website.'> </a> <div> <p><strong>Grades:</strong> K - 9</p><p><strong>Type:</strong> Elementary</p><p><strong>Programs:</strong> Regular, Montessori</p></div></div><div class='cmty-school__icons'> <img class='more-info lazyload' data-src='/uploads/agent-1/community/info.svg' title='More Info' alt='More Info about Captain John Palliser School' height='30' width='30'> </div><div class='cmty-school__content'> <h4>About Captain John Palliser School</h4><p>Conveniently located in Brentwood near Sir Winston Churchill Pool and Nosehill Library, Captain John Palliser School extends a Montessori Alternative program K - 6 and a Pre-Kindergarten program, which is tuition based. The school provides lunchroom supervision during school hours and before/after school care.</p></div></div>"
